date,r
1995-01-31,0.02079986569999992
1995-02-28,0.037813490574404085
1995-03-31,0.025674924949523614
1995-04-30,0.026596720950873953
1995-05-31,0.033796545877685435
1995-06-30,0.02471389434600413
1995-07-31,0.03579585170099353
1995-08-31,0.002614314345974922
1995-09-30,0.03740231523083848
1995-10-31,-0.00958291762926966
1995-11-30,0.041002445238075724
1995-12-31,0.015084533009401602
1996-01-31,0.029195434368353368
1996-02-29,0.010646881284289478
1996-03-31,0.00873072719499568
1996-04-30,0.016952865429145314
1996-05-31,0.02222683013768778
1996-06-30,-0.001651346949546384
1996-07-31,-0.049210831691444135
1996-08-31,0.024429106158091907
1996-09-30,0.052434220745849025
1996-10-31,0.022053377759483128
1996-11-30,0.07052168677826498
1996-12-31,-0.017943822568795786
1997-01-31,0.05675484762206273
1997-02-28,0.003256768674829713
1997-03-31,-0.043144648974908995
1997-04-30,0.05317046243197532
1997-05-31,0.06348832704861751
1997-06-30,0.04179982465784593
1997-07-31,0.07939942461965921
1997-08-31,-0.04887602892693421
1997-09-30,0.05401372715759867
1997-10-31,-0.03590623458482667
1997-11-30,0.03916896928699143
1997-12-31,0.018139269863518548
1998-01-31,0.005795051679873486
1998-02-28,0.07232990256221683
1998-03-31,0.0488898519498846
1998-04-30,0.009737134851001805
1998-05-31,-0.02289212192360901
1998-06-30,0.034713580776657205
1998-07-31,-0.016629343949572828
1998-08-31,-0.15114072449711136
1998-09-30,0.06488151423319599
1998-10-31,0.07977606717984598
1998-11-30,0.0581551090948369
1998-12-31,0.061818627250826985
1999-01-31,0.032916746779465544
1999-02-28,-0.03559063326011691
1999-03-31,0.03721289326384869
1999-04-30,0.04153485429305159
1999-05-31,-0.02161872431659817
1999-06-30,0.05438276113951779
1999-07-31,-0.030655720669230058
1999-08-31,-0.00950543167524287
1999-09-30,-0.02788801500829796
1999-10-31,0.05982557060679161
1999-11-30,0.02185103477256023
1999-12-31,0.058531236078270155
2000-01-31,-0.04885234225776158
2000-02-29,-0.00976855003403676
2000-03-31,0.09136218334307222
2000-04-30,-0.030802179458914614
2000-05-31,-0.021544860754557527
2000-06-30,0.024277648621720438
2000-07-31,-0.014623390940631142
2000-08-31,0.06459361632115823
2000-09-30,-0.049732636849751155
2000-10-31,-0.006733021077283352
2000-11-30,-0.08049251727412643
2000-12-31,0.011788169094340883
2001-01-31,0.03396691305878208
2001-02-28,-0.08915744680851068
2001-03-31,-0.06447152040663773
2001-04-30,0.07898206224281878
2001-05-31,0.0066646919431279095
2001-06-30,-0.021811093129321835
2001-07-31,-0.011317916901673164
2001-08-31,-0.06069825815775465
2001-09-30,-0.08656571382298162
2001-10-31,0.020877659574468188
2001-11-30,0.0749424688463376
2001-12-31,0.012440925798764102
2002-01-31,-0.014083383203670419
2002-02-28,-0.019180964713499504
2002-03-31,0.0406386665566465
2002-04-30,-0.054077627562145625
2002-05-31,-0.011023094010645829
2002-06-30,-0.07183420918799799
2002-07-31,-0.08273594813022234
2002-08-31,0.0049280700881080275
2002-09-30,-0.1062017039825639
2002-10-31,0.08096874307248947
2002-11-30,0.05685721609843619
2002-12-31,-0.05806733288056665
2003-01-31,-0.027862182623474285
2003-02-28,-0.01817122271667715
2003-03-31,0.008201586359466884
2003-04-30,0.08033181696548053
2003-05-31,0.054195977410086194
2003-06-30,0.011889097744360866
2003-07-31,0.018901221381135924
2003-08-31,0.02105742935278032
2003-09-30,-0.012945272743505098
2003-10-31,0.05770622286541238
2003-11-30,0.01047545749957246
2003-12-31,0.04646045783438413
2004-01-31,0.017993611257126618
2004-02-29,0.013346043851286904
2004-03-31,-0.013640639698965229
2004-04-30,-0.01883643299952309
2004-05-31,0.012798703928716071
2004-06-30,0.019715268335599445
2004-07-31,-0.036197497941095835
2004-08-31,0.0013020833333334814
2004-09-30,0.012556892067620229
2004-10-31,0.014247301039451044
2004-11-30,0.04202279202279202
2004-12-31,0.032695374800638
2005-01-31,-0.025261996690568167
2005-02-28,0.020371208691715825
2005-03-31,-0.018818396923987124
2005-04-30,-0.023211123252571575
2005-05-31,0.03371523357636086
2005-06-30,0.0030227264245996643
2005-07-31,0.038321303668427786
2005-08-31,-0.011502078257130455
2005-09-30,0.006959799905752684
2005-10-31,-0.01871917635624054
2005-11-30,0.036648446384680344
2005-12-31,-0.0007431523816263663
2006-01-31,0.03059815136168842
2006-02-28,-0.000755987766743349
2006-03-31,0.013721242133498235
2006-04-30,0.01173756699911821
2006-05-31,-0.03285944206008584
2006-06-30,-3.466925530437592e-05
2006-07-31,0.0005547273168531319
2006-08-31,0.02016701895422579
2006-09-30,0.022383750551951298
2006-10-31,0.03292358803986728
2006-11-30,0.018043806889453506
2006-12-31,0.010583849361809783
2007-01-31,0.015943977240754137
2007-02-28,-0.019017140043696368
2007-03-31,0.010414379372000404
2007-04-30,0.04132128775884025
2007-05-31,0.03434500029813359
2007-06-30,-0.018187582867354557
2007-07-31,-0.03367290021430869
2007-08-31,0.012668611009843067
2007-09-30,0.03414034140341404
2007-10-31,0.015781381451074772
2007-11-30,-0.045780379837212504
2007-12-31,-0.008230575841015164
2008-01-31,-0.06083833780969916
2008-02-29,-0.03348221458179357
2008-03-31,-0.006083978855680128
2008-04-30,0.04947150120417465
2008-05-31,0.015107569721115599
2008-06-30,-0.08439825426230019
2008-07-31,-0.00960186550529818
2008-08-31,0.013538312385305229
2008-09-30,-0.09141842033342462
2008-10-31,-0.1746127237178522
2008-11-30,-0.07789723032069984
2008-12-31,0.012399960478213679
2009-01-31,-0.08632215878592686
2009-02-28,-0.10943174535355693
